設定項目番号,非表示にする対象,設定方法,設定内容（Firefox 52）,Firefox 45→52での変更,設定内容（Firefox 45）,Firefox 38→45での変更,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
Hide-1,設定画面の「セキュリティ」パネル,"Firefox 38以降：
1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する

Firefox 31以前：
1. アドオン「Hide Option Pane」を導入する
2. MCDで設定を反映する","@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #category-security {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #category-security {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #category-security {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"lockPref(""extensions.hideoptionpane@clear-code.com.browser.paneSecurity.enabled"", false);"
Hide-2,設定画面の「Sync」パネル、サイドバーの「同期タブ」,アドオン「Disable Sync」を導入する,-,,-,,-,変更無し,-
Hide-3,設定画面の「ヘルプ」ボタン,"Firefox 38以降：
1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する

Firefox 31以前：
1. アドオン「UI Text Overrider」を導入する
2. MCDで設定を反映する
3. アドオン「globalChrome.css」を導入する
4. globalChrome.cssで設定を反映する","@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  *|*.help-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更あり,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  .help-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",○,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #help-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更無し,"MCD:
lockPref(""extensions.uitextoverrider@clear-code.com.helpButton"", ""prefwindow[ondialoghelp]"");
lockPref(""extensions.uitextoverrider@clear-code.com.helpButton.ondialoghelp"", """");

globalChrome.css:
@-moz-document url-prefix(""chrome://browser/content/preferences/"") {
  .dialog-button[dlgtype=""help""] {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
Hide-4,ポップアップブロック、アドオンのインストール警告、オフラインデータの許可の編集（Cookie以外の権限に関するサイトごとの権限設定）,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document url-prefix(""chrome://browser/content/preferences/permissions.xul"") {
  :root#PermissionsDialog:not([title*='Cookie']) #url,
  :root#PermissionsDialog:not([title*='Cookie']) #btnBlock,
  :root#PermissionsDialog:not([title*='Cookie']) #btnSession,
  :root#PermissionsDialog:not([title*='Cookie']) #btnAllow,
  :root#PermissionsDialog:not([title*='Cookie']) #removePermission,
  :root#PermissionsDialog:not([title*='Cookie']) #removeAllPermissions {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document url-prefix(""chrome://browser/content/preferences/permissions.xul"") {
  :root#PermissionsDialog:not([title*='Cookie']) #url,
  :root#PermissionsDialog:not([title*='Cookie']) #btnBlock,
  :root#PermissionsDialog:not([title*='Cookie']) #btnSession,
  :root#PermissionsDialog:not([title*='Cookie']) #btnAllow,
  :root#PermissionsDialog:not([title*='Cookie']) #removePermission,
  :root#PermissionsDialog:not([title*='Cookie']) #removeAllPermissions {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document url-prefix(""chrome://browser/content/preferences/permissions.xul"") {
  :root#PermissionsDialog:not([title*='Cookie']) #url,
  :root#PermissionsDialog:not([title*='Cookie']) #btnBlock,
  :root#PermissionsDialog:not([title*='Cookie']) #btnSession,
  :root#PermissionsDialog:not([title*='Cookie']) #btnAllow,
  :root#PermissionsDialog:not([title*='Cookie']) #removePermission,
  :root#PermissionsDialog:not([title*='Cookie']) #removeAllPermissions {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}","@-moz-document url-prefix(""chrome://browser/content/preferences/permissions.xul"") {
  :root#PermissionsDialog:not([title*='Cookie']):not([title*='ポップアップ']) #url,
  :root#PermissionsDialog:not([title*='Cookie']):not([title*='ポップアップ']) #btnBlock,
  :root#PermissionsDialog:not([title*='Cookie']):not([title*='ポップアップ']) #btnSession,
  :root#PermissionsDialog:not([title*='Cookie']):not([title*='ポップアップ']) #btnAllow,
  :root#PermissionsDialog:not([title*='Cookie']):not([title*='ポップアップ']) #removePermission,
  :root#PermissionsDialog:not([title*='Cookie']):not([title*='ポップアップ']) #removeAllPermissions {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}","@-moz-document url-prefix(""chrome://browser/content/preferences/permissions.xul"") {
  :root#PermissionsDialog:not([title*='Cookie']) #url,
  :root#PermissionsDialog:not([title*='Cookie']) #btnBlock,
  :root#PermissionsDialog:not([title*='Cookie']) #btnSession,
  :root#PermissionsDialog:not([title*='Cookie']) #btnAllow,
  :root#PermissionsDialog:not([title*='Cookie']) #removePermission,
  :root#PermissionsDialog:not([title*='Cookie']) #removeAllPermissions {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}"
Hide-5,サイト別設定マネージャにおける、Cookie以外の権限に関する設定項目,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する",Firefox 45で廃止,変更あり,Firefox 45では機能が削除されたため不要,○,"@-moz-document
  url-prefix(""about:permissions""),
  url-prefix(""chrome://browser/content/preferences/aboutPermissions.xul"") {
  #password-pref-item,
  #geo-pref-item,
  #camera-pref-item,
  #microphone-pref-item,
  #popup-pref-item,
  #indexedDB-pref-item,
  #fullscreen-pref-item {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}","@-moz-document
  url-prefix(""about:permissions""),
  url-prefix(""chrome://browser/content/preferences/aboutPermissions.xul"") {
  #password-pref-item,
  #geo-pref-item,
  #camera-pref-item,
  #microphone-pref-item,
  #popup-pref-item,
  #indexedDB-pref-item,
  #fullscreen-pref-item {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",-
Hide-6,新しいタブを開くボタン,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #new-tab-button,
  .tabs-newtab-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #new-tab-button,
  .tabs-newtab-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #new-tab-button,
  .tabs-newtab-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,
Hide-7,設定画面内の「タブグループ」グループにおける「新しいウィンドウではなく新しいタブで開く」,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
    /* タブグループ */
    #linkTargeting {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",変更あり,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
    /* タブグループ */
    #linkTargeting {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document
  url-prefix(""chrome://browser/content/preferences/preferences.xul""),
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
    /* タブグループ */
    #linkTargeting {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,
Hide-8,コンテンツ領域のコンテキストメニューおける「デスクトップの背景に設定」,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する",MenuShortcut-55に統合,,MenuShortcut-55に統合,○,"@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #context-setDesktopBackground {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,
Hide-9,設定画面の「ダウンロード」グループ,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する"," @-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #downloadsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",," @-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #downloadsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",," @-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #downloadsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,
Hide-10,ロケーションバーのズーム率表示,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  #urlbar-zoom-button {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",新規,,,,,
