設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 52）,Firefox 45→52での変更,設定内容（Firefox 45）,Firefox 38→45での変更,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
Install-5,2,,,,表示する,fainstall.iniを編集する,"[fainstall]
ConfirmRestartTitle=Fx Meta Installer
ConfirmRestartMessage=今すぐコンピュータを再起動しますか？",,"[fainstall]
ConfirmRestartTitle=Fx Meta Installer
ConfirmRestartMessage=今すぐコンピュータを再起動しますか？",,"[fainstall]
ConfirmRestartTitle=Fx Meta Installer
ConfirmRestartMessage=今すぐコンピュータを再起動しますか？",,
Install-6,1,インストール,インストーラのウィザードの表示言語,-,日本語（既定）,fx-meta-installerビルド時に決定,"!define PRODUCT_LANGUAGE ""Japanese""",,"!define PRODUCT_LANGUAGE ""Japanese""",,"!define PRODUCT_LANGUAGE ""Japanese""",,
Install-6,2,,,,英語,fx-meta-installerビルド時に決定,"!define PRODUCT_LANGUAGE ""English""",,"!define PRODUCT_LANGUAGE ""English""",,"!define PRODUCT_LANGUAGE ""English""",,
Install-7,1,インストール,Firefox/Thunderbirdの同梱,-,同梱しない（既定）,-,-,,-,,-,,
Install-7,2,,,,指定バージョンを同梱する,resources以下にインストーラを同梱,-,,-,,-,,
Install-8,1,インストール,Firefox/Thunderbirdのインストール先,-,既定のインストール先（既定）,-,-,,-,,-,,
Install-8,2,,,,任意のインストール先,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
InstallDirectoryName=
InstallDirectoryPath=",,"[Install]
InstallDirectoryName=
InstallDirectoryPath=",,"[Install]
InstallDirectoryName=
InstallDirectoryPath=",,
Install-9,1,インストール,メタインストーラの表示バージョン,-,更新しない（既定）,-,-,,-,,-,,
Install-9,2,,,,指定する,fainstall.iniを編集する,"[fainstall]
DisplayVersion=バージョン番号",,"[fainstall]
DisplayVersion=バージョン番号",,"[fainstall]
DisplayVersion=バージョン番号",,
Install-10,1,インストール,スタートメニュー、タスクバー上のショートカットの更新,-,更新しない（既定）,-,-,,-,新規,,,
Install-10,2,,,,更新する,fainstall.iniを編集する,"[fainstall]
UpdatePinnedShortcuts=true",,"[fainstall]
UpdatePinnedShortcuts=true",新規,,,
Install-10,3,,,,削除のみする,fainstall.iniを編集する,"[fainstall]
UpdatePinnedShortcuts=delete",,"[fainstall]
UpdatePinnedShortcuts=delete",新規,,,
Application-1,1,特定用途専用アプリケーションとしての利用,デスクトップのショートカット,-,既定の内容で作成（既定）,-,-,,-,,-,,
Application-1,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
DesktopShortcut=false",,"[Install]
DesktopShortcut=false",,"[Install]
DesktopShortcut=false",,
Application-1,3,,,,任意の内容で作成,"1. Firefox-setup.ini/Thunderbird-setup.iniを編集する
2. fainstall.iniを編集する","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
DesktopShortcut=false

fainstall.ini:
[fainstall]
Shortcuts=desktop-shortcut

[desktop-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,"Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
DesktopShortcut=false

fainstall.ini:
[fainstall]
Shortcuts=desktop-shortcut

[desktop-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,"Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
DesktopShortcut=false

fainstall.ini:
[fainstall]
Shortcuts=desktop-shortcut

[desktop-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,
Application-2,1,特定用途専用アプリケーションとしての利用,スタートメニューのショートカット,-,既定の内容で作成（既定）,-,-,,-,,-,,
Application-2,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
StartMenuShortcuts=false",,"[Install]
StartMenuShortcuts=false",,"[Install]
StartMenuShortcuts=false",,
Application-2,3,,,,任意の内容で作成,"1.Firefox-setup.ini/Thunderbird-setup.iniを編集する
2.fainstall.iniを編集する","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
StartMenuShortcuts=false

fainstall.ini:
[fainstall]
Shortcuts=startmenu-shortcut

[startmenu-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/ProgramData/Microsoft/Windows/Start Menu/Programs",,"Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
StartMenuShortcuts=false

fainstall.ini:
[fainstall]
Shortcuts=startmenu-shortcut

[startmenu-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/ProgramData/Microsoft/Windows/Start Menu/Programs",,"Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
StartMenuShortcuts=false

fainstall.ini:
[fainstall]
Shortcuts=startmenu-shortcut

[startmenu-shortcut]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/ProgramData/Microsoft/Windows/Start Menu/Programs",,
Application-3,1,特定用途専用アプリケーションとしての利用,クイック起動のショートカット,-,既定の内容で作成（既定）,-,-,,-,,-,,
Application-3,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
QuickLaunchShortcut=false",,"[Install]
QuickLaunchShortcut=false",,"[Install]
QuickLaunchShortcut=false",,
Application-4,1,特定用途専用アプリケーションとしての利用,メインウィンドウのタイトル,-,既定の名前（既定）,-,-,,-,,-,,
Application-4,2,,,,任意の内容,"1. アドオン「UI Text Overrider」を導入する
2. MCDで設定を反映する","var title = ""タイトル"";
lockPref(""extensions.uitextoverrider@clear-code.com.main-window"", "":root#main-window"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_privatebrowsing"", title + ""（プライベートブラウジング）"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_privatebrowsing"", title + ""（プライベートブラウジング）"");",,"var title = ""タイトル"";
lockPref(""extensions.uitextoverrider@clear-code.com.main-window"", "":root#main-window"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_privatebrowsing"", title + ""（プライベートブラウジング）"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_privatebrowsing"", title + ""（プライベートブラウジング）"");",,"var title = ""タイトル"";
lockPref(""extensions.uitextoverrider@clear-code.com.main-window"", "":root#main-window"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_privatebrowsing"", title + ""（プライベートブラウジング）"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_privatebrowsing"", title + ""（プライベートブラウジング）"");",,
Appliaction-5,1,特定用途専用アプリケーションとしての利用,メインウィンドウのアイコン,-,既定のアイコン（既定）,-,-,,-,,-,,
Appliaction-5,2,,,,任意のアイコン,"インストーラに含める場合、アイコンをresources/main-window.icoの位置に置く
（直接反映する場合、アイコンをbrowser/chrome/icons/default/main-window.icoの位置に置く）",-,,-,,-,,
Application-6,1,特定用途専用アプリケーションとしての利用,プロファイルの位置,-,%AppData%内（既定）,-,-,,-,,-,,
Application-6,2,,,,任意の位置,fainstall.iniを編集する,"以下は設定例。作成するショートカットの数、位置、プロファイルの設置場所についてはその都度指定が必要。

[fainstall]
Shortcuts=desktop-shortcut

[profile]
TargetUser=all
Name=NameOfProfile
RootPath=X:/Path/To/RootDir

[desktop-shortcut]
Name=""Mozilla Firefox""
Path=%AppDir%/firefox.exe
Options=-profile X:\Path\To\RootDir\Profiles\NameOfProfile
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,"以下は設定例。作成するショートカットの数、位置、プロファイルの設置場所についてはその都度指定が必要。

[fainstall]
Shortcuts=desktop-shortcut

[profile]
TargetUser=all
Name=NameOfProfile
RootPath=X:/Path/To/RootDir

[desktop-shortcut]
Name=""Mozilla Firefox""
Path=%AppDir%/firefox.exe
Options=-profile X:\Path\To\RootDir\Profiles\NameOfProfile
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,"以下は設定例。作成するショートカットの数、位置、プロファイルの設置場所についてはその都度指定が必要。

[fainstall]
Shortcuts=desktop-shortcut

[profile]
TargetUser=all
Name=NameOfProfile
RootPath=X:/Path/To/RootDir

[desktop-shortcut]
Name=""Mozilla Firefox""
Path=%AppDir%/firefox.exe
Options=-profile X:\Path\To\RootDir\Profiles\NameOfProfile
TargetUser=all
TargetLocation=C:/Users/Public/Desktop/",,
Application-7,1,ブランディング,ノーブランド化,-,しない（オフィシャル版を使用）,,-,,-,,-,,
Application-7,2,,,,表示上の名称のみ変更する,"1. 所定の手順に則り、言語リソースとブランディング関連リソースを修正する
2. ビルドする",長いブランド名、短いブランド名を指定,,長いブランド名、短いブランド名を指定,,長いブランド名、短いブランド名を指定,,
Application-7,3,,,,内部名も含めて変更する,"1. 所定の手順に則り、言語リソース、ブランディング関連リソース、動作上の内部名を定義している箇所を修正する
2. ビルドする",長いブランド名、短いブランド名を指定,,長いブランド名、短いブランド名を指定,,長いブランド名、短いブランド名を指定,,
Admin-1,1,管理者による設定,管理者による設定の制御,-,ローカルのファイルで設定する,"1. defaults/pref/autoconfig.jsに設定を反映する
2. autoconfig.cfgに設定を反映する","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…",,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…",,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…",変更無し,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…"
Admin-1,2,,,,リモートのファイルで設定する,"1. defaults/pref/autoconfig.jsに設定を反映する
2. autoconfig.cfgに設定を反映する
3. リモートに設定ファイルautoconfig.jscを設置する","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…",,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…",,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…",変更無し,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…"
Admin-1,3,,,,設定しない（既定）,-,-,,-,,-,変更無し,-
Admin-2,1,管理者によるアドオン導入,初回起動時のアドオン導入警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""extensions.autoDisableScopes"", 15);",,"lockPref(""extensions.autoDisableScopes"", 15);",,"lockPref(""extensions.autoDisableScopes"", 15);",変更無し,"lockPref(""extensions.autoDisableScopes"", 15);"
Admin-2,2,,,,警告しない,MCDで設定を反映する,"lockPref(""extensions.autoDisableScopes"", 11);",,"lockPref(""extensions.autoDisableScopes"", 11);",,"lockPref(""extensions.autoDisableScopes"", 11);",変更無し,"lockPref(""extensions.autoDisableScopes"", 11);"
Admin-3,1,管理者によるアドオン導入,Firefoxバージョンアップ時のアドオン更新確認の可否,-,確認する（既定）,MCDで設定を反映する,"lockPref(""extensions.shownSelectionUI"", false);
lockPref(""extensions.showMismatchUI"", true);",,"lockPref(""extensions.shownSelectionUI"", false);
lockPref(""extensions.showMismatchUI"", true);",○,"lockPref(""extensions.shownSelectionUI"", false);",変更無し,"lockPref(""extensions.shownSelectionUI"", false);"
Admin-3,2,,,,確認しない,MCDで設定を反映する,"lockPref(""extensions.shownSelectionUI"", true);
lockPref(""extensions.showMismatchUI"", false);",,"lockPref(""extensions.shownSelectionUI"", true);
lockPref(""extensions.showMismatchUI"", false);",○,"lockPref(""extensions.shownSelectionUI"", true);",変更無し,"lockPref(""extensions.shownSelectionUI"", true);"
Admin-4,1,管理者によるアドオン導入,Mozillaにより署名されていないアドオンのインストールパッケージの使用の可否,-,許可する,MCDで設定を反映する,"lockPref(""xpinstall.signatures.required"", false);",,"lockPref(""xpinstall.signatures.required"", false);",新規,,,
Admin-4,2,,,,禁止する（規定）,MCDで設定を反映する,"lockPref(""xpinstall.signatures.required"", true);",,"lockPref(""xpinstall.signatures.required"", true);",新規,,,
Security-1,1,セキュリティ,独自のルート証明書をあらかじめ導入しておく,-,導入する,"1. アドオン「Cert Importer」を導入する
2. アドオン「Auto Confirm」を導入する
3. MCDで設定を反映する","// Cert Importer
lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);

// Auto Confirm
function autoConfirmImport(aCertName) {
  var base = ""extensions.auto-confirm@myokoym.net.general.auto-import-"" + aCertName.replace(/\./g, '_');

  // 日本語環境用の設定
  var baseJa = base + ""-ja"";
  lockPref(baseJa + "".url"", ""chrome://pippki/content/downloadcert.xul"");
  lockPref(baseJa + "".text"", ""“"" + aCertName + ""” が行う認証のうち、信頼するものを選択してください。"");
  lockPref(baseJa + "".actions"", 
""[\""check;id:trustSSL\"",\""check;id:trustEmail\"",\""check;id:trustObjSign\"",\""accept\""]"");

  // 英語環境用の設定
  var baseEn = base + ""-en"";
  lockPref(baseEn + "".url"", ""chrome://pippki/content/downloadcert.xul"");
  lockPref(baseEn + "".text"", ""Do you want to trust “"" + aCertName + ""” for the following purposes?"");
  lockPref(baseEn + "".actions"", 
""[\""check;id:trustSSL\"",\""check;id:trustEmail\"",\""check;id:trustObjSign\"",\""accept\""]"");
}
autoConfirmImport(""(証明書の名前)"");",○,"// Cert Importer
lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);

// Auto Confirm
function autoConfirmImport(aCertName) {
  var base = ""extensions.auto-confirm@myokoym.net.general.auto-import-"" + aCertName.replace(/\./g, '_');

  // 日本語環境用の設定
  var baseJa = base + ""-ja"";
  lockPref(baseJa + "".url"", ""chrome://pippki/content/downloadcert.xul"");
  lockPref(baseJa + "".text"", ""\"""" + aCertName + ""\"" が行う認証のうち、信頼するものを選択してください。"");
  lockPref(baseJa + "".actions"", ""[\""check;この認証局による Web サイトの識別を信頼する\"",\""check;この認証局によるメールユーザの識別を信頼する\"",\""check;この認証局によるソフトウェア製作者の識別を信頼する\"",\""accept\""]"");

  // 英語環境用の設定
  var baseEn = base + ""-en"";
  lockPref(baseEn + "".url"", ""chrome://pippki/content/downloadcert.xul"");
  lockPref(baseEn + "".text"", ""Do you want to trust \"""" + aCertName + ""\"" for the following purposes?"");
  lockPref(baseEn + "".actions"", ""[\""check;Trust this CA to identify websites.\"",\""check;Trust this CA to identify email users.\"",\""check;Trust this CA to identify software developers.\"",\""accept\""]"");
}
autoConfirmImport(""(証明書の名前)"");",○,"lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);",変更無し,"lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);"
Security-1,2,,,,導入しない（既定）,-,-,,-,,-,,
Security-2,1,セキュリティ,独自のルート証明書の自動再登録の可否,-,自動的に再登録する,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.allowRegisterAgain"", true);",,"lockPref(""extensions.certimporter.allowRegisterAgain"", true);",,"lockPref(""extensions.certimporter.allowRegisterAgain"", true);",変更無し,"lockPref(""extensions.certimporter.allowRegisterAgain"", true);"
Security-2,2,,,,自動的に再登録しない（既定）,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.allowRegisterAgain"", false);",,"lockPref(""extensions.certimporter.allowRegisterAgain"", false);",,"lockPref(""extensions.certimporter.allowRegisterAgain"", false);",変更無し,"lockPref(""extensions.certimporter.allowRegisterAgain"", false);"
Security-3,1,セキュリティ,アドオンのインストールの可否,○,確認の上で許可する（既定）,-,-,,-,,-,,
Security-3,2,,,,特定サイトのみ常に許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する",-,,-,,-,,
Security-3,5,,,,特定サイトのみ初期状態で許可する,"1. 「default.permissions」を作成する
2. MCDで設定を反映する","default.permissions:
host<\t>install<\t>1<\t>http://example.com
# または
origin<\t>install<\t>1<\t>http://example.com

MCD:
lockPref(""permissions.manager.defaultsUrl"", ""file://\C:/Program Files (x86)/Mozilla%20Firefox/defaults/default.permissions"");",,"default.permissions:
host<\t>install<\t>1<\t>http://example.com
# または
origin<\t>install<\t>1<\t>http://example.com

MCD:
lockPref(""permissions.manager.defaultsUrl"", ""file://\C:/Program Files (x86)/Mozilla%20Firefox/defaults/default.permissions"");",新規,,,
Security-3,3,,,,禁止する,"1. アドオン「Disable Addons」を導入する
2. アドオン「Permission Auto Registerer」を導入する
3. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.addons.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.update.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.getpersonas.com"", ""install=0"");
lockPref(""extensions.autopermission.sites.marketplace.firefox.com"", ""install=0"");
lockPref(""extensions.autopermission.sites.testpilot.firefox.com"", ""install=0"");
// アドオンマネージャからのインストールを禁止
lockPref(""extensions.getAddons.get.url"", """");
lockPref(""extensions.getAddons.getWithPerformance.url"", """");
lockPref(""extensions.getAddons.link.url"", """");
lockPref(""extensions.getAddons.recommended.url"", """");
lockPref(""extensions.getAddons.search.browseURL"", """");
lockPref(""extensions.getAddons.search.url"", """");",○,"lockPref(""extensions.autopermission.sites.addons.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.update.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.getpersonas.com"", ""install=0"");
lockPref(""extensions.autopermission.sites.marketplace.firefox.com"", ""install=0"");
// アドオンマネージャからのインストールを禁止
lockPref(""extensions.getAddons.get.url"", """");
lockPref(""extensions.getAddons.getWithPerformance.url"", """");
lockPref(""extensions.getAddons.link.url"", """");
lockPref(""extensions.getAddons.recommended.url"", """");
lockPref(""extensions.getAddons.search.browseURL"", """");
lockPref(""extensions.getAddons.search.url"", """");",○,"lockPref(""extensions.autopermission.sites.addons.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.update.mozilla.org"", ""install=0"");
lockPref(""extensions.autopermission.sites.getpersonas.com"", ""install=0"");",,
Security-3,4,,,,禁止するが、設定の変更は許可する,"1. アドオン「Disable Addons」を導入する
2. MCDで設定を反映する","lockPref(""extensions.disableaddons@clear-code.com.disable.manager"", false);
// アドオンマネージャからのインストールを禁止
lockPref(""extensions.getAddons.get.url"", """");
lockPref(""extensions.getAddons.getWithPerformance.url"", """");
lockPref(""extensions.getAddons.link.url"", """");
lockPref(""extensions.getAddons.recommended.url"", """");
lockPref(""extensions.getAddons.search.browseURL"", """");
lockPref(""extensions.getAddons.search.url"", """");",,"lockPref(""extensions.disableaddons@clear-code.com.disable.manager"", false);
// アドオンマネージャからのインストールを禁止
lockPref(""extensions.getAddons.get.url"", """");
lockPref(""extensions.getAddons.getWithPerformance.url"", """");
lockPref(""extensions.getAddons.link.url"", """");
lockPref(""extensions.getAddons.recommended.url"", """");
lockPref(""extensions.getAddons.search.browseURL"", """");
lockPref(""extensions.getAddons.search.url"", """");",○,"lockPref(""extensions.disableaddons@clear-code.com.disable.manager"", false);",,
Security-4,1,セキュリティ,広告などのポップアップの表示の可否,○,確認の上で許可する（既定）,-,-,,-,,-,,
Security-4,2,,,,特定サイトのみ常に確認無しで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""popup=1"");",,"lockPref(""extensions.autopermission.sites.(site)"", ""popup=1"");",,"lockPref(""extensions.autopermission.sites.(site)"", ""popup=1"");",,
Security-4,5,,,,特定サイトのみ初期状態で確認無しで許可する,"1. 「default.permissions」を作成する
2. MCDで設定を反映する","default.permissions:
host<\t>popup<\t>1<\t>http://example.com
# または
origin<\t>popup<\t>1<\t>http://example.com

MCD:
lockPref(""""permissions.manager.defaultsUrl"""", """"file://\C:/Program Files (x86)/Mozilla%20Firefox/defaults/default.permissions"""");""",,"default.permissions:
host<\t>popup<\t>1<\t>http://example.com
# または
origin<\t>popup<\t>1<\t>http://example.com

MCD:
lockPref(""""permissions.manager.defaultsUrl"""", """"file://\C:/Program Files (x86)/Mozilla%20Firefox/defaults/default.permissions"""");""",新規,,,
Security-4,3,,,,すべて確認無しで許可する,MCDで設定を反映する,"lockPref(""dom.disable_open_during_load"", false);",,"lockPref(""dom.disable_open_during_load"", false);",,"lockPref(""dom.disable_open_during_load"", false);",変更無し,"lockPref(""dom.disable_open_during_load"", false);"
Security-4,4,,,,禁止する,-,"MCDで
lockPref(""dom.disable_open_during_load"", true);
と設定した上で、「UI・キーボードショートカット無効化項目一覧」に従いUIを無効化",,"MCDで
lockPref(""dom.disable_open_during_load"", true);
と設定した上で、「UI・キーボードショートカット無効化項目一覧」に従いUIを無効化",,"MCDで
lockPref(""dom.disable_open_during_load"", true);
と設定した上で、「UI・キーボードショートカット無効化項目一覧」に従いUIを無効化",変更無し,"lockPref(""dom.disable_open_during_load"", true);"
Security-5,1,セキュリティ,攻撃サイトに対する警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""browser.safebrowsing.malware.enabled"", true);",,"lockPref(""browser.safebrowsing.malware.enabled"", true);",,"lockPref(""browser.safebrowsing.malware.enabled"", true);",変更無し,"lockPref(""browser.safebrowsing.malware.enabled"", true);"
