,"無効化に際しては、特に断りがない限りアドオン「UI Text Overrider」および「globalChrome.css」を導入して、MCDおよびglobalChrome.cssにて設定を反映するものとする。

MCDによる設定:
// disable shortcuts and UI
var killedItems = [];
var killedItemsWithDelay = [];
var hiddenItemsWithDelay = [];

// ここに書く
// CSSセレクタID内の:をエスケープしている\（バックスラッシュ）は\\にすること
// killedItems.push(""..."");

function setKillItemRule(aIdentifier, aSelector, aDelayed, aDisableCommand) {
  lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier, aSelector);
  lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".disabled"", ""true"");
  lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".hidden"", ""true"");
  lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".readonly"", ""true"");
  if (aDisableCommand) {
    lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".command"", """");
    lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".oncommand"", """");
  }
  lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".always-hidden"", ""true"");
  lockPref(""extensions.uitextoverrider@clear-code.com."" + aIdentifier + "".delayed"", aDelayed == true);
}
setKillItemRule(""killedItems"",          killedItems.join("",""),          false, true);
setKillItemRule(""killedItemsWithDelay"", killedItemsWithDelay.join("",""), true,  true);
setKillItemRule(""hiddenItemsWithDelay"", hiddenItemsWithDelay.join("",""), true,  false);

globalChrome.cssによる設定:
@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  （セレクタ）,
  /* MenuShortcut-common */
  *[always-hidden=""true""] {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
設定項目番号,無効化対象,識別子,Firefox 45,,,,,,Firefox 38,,,,Firefox 31,,,,Firefox 24,,
,,,ショートカット,セレクタ,分類,遅延初期化,"oncommandを
空にする",Firefox 38からの変更,ショートカット,セレクタ,遅延初期化,"oncommandを
空にする",ショートカット,セレクタ,遅延初期化,"oncommandを
空にする",ショートカット,セレクタ,遅延初期化
MenuShortcut-1,閉じたタブを開き直す,undoCloseTab,Ctrl-Shift-T,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#toolbar-context-undoCloseTab,
#context_undoCloseTab,
#PanelUI-recentlyClosedTabs-separator,
#PanelUI-recentlyClosedTabs",killedItems,false,yes,,Ctrl-Shift-T,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#toolbar-context-undoCloseTab,
#context_undoCloseTab,
#PanelUI-recentlyClosedTabs-separator,
#PanelUI-recentlyClosedTabs",false,yes,変更無し,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#context_undoCloseTab,
#PanelUI-recentlyClosedTabs-separator,
#PanelUI-recentlyClosedTabs",変更無し,yes,Ctrl-Shift-T,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#context_undoCloseTab",false
MenuShortcut-2,閉じたウィンドウを開き直す,undoCloseWindow,Ctrl-Shift-N,"#key_undoCloseWindow,
#History\:UndoCloseWindow,
#historyUndoWindowMenu,
#PanelUI-recentlyClosedWindows-separator,
#PanelUI-recentlyClosedWindows",killedItems,false,yes,,Ctrl-Shift-N,"#key_undoCloseWindow,
#History\:UndoCloseWindow,
#historyUndoWindowMenu,
#PanelUI-recentlyClosedWindows-separator,
#PanelUI-recentlyClosedWindows",false,yes,変更無し,"#key_undoCloseWindow,
#History\:UndoCloseWindow,
#historyUndoWindowMenu,
#PanelUI-recentlyClosedWindows-separator,
#PanelUI-recentlyClosedWindows",変更無し,yes,Ctrl-Shift-N,"#History\:UndoCloseWindow,
#historyUndoWindowMenu",false
MenuShortcut-3,ファイル＞新しいプライベートウィンドウを開く,undoCloseWindow,Ctrl-Shift-P,"#menu_newPrivateWindow,
#privatebrowsing-button,
#wrapper-privatebrowsing-button,
#key_privatebrowsing,
#Tools\:PrivateBrowsing,
#context-openlinkprivate",killedItems,false,yes,,Ctrl-Shift-P,"#menu_newPrivateWindow,
#privatebrowsing-button,
#wrapper-privatebrowsing-button,
#key_privatebrowsing,
#Tools\:PrivateBrowsing,
#context-openlinkprivate",false,yes,変更無し,"#menu_newPrivateWindow,
#privatebrowsing-button,
#wrapper-privatebrowsing-button,
#key_privatebrowsing,
#Tools\:PrivateBrowsing,
#context-openlinkprivate",変更無し,yes,Ctrl-Shift-P,"#appmenu_newPrivateWindow, #menu_newPrivateWindow",false
MenuShortcut-4,ファイル＞ページのURLをメールで送信（ページのURLをメールで送信ボタン）,browser_sendLink,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage,
#email-link-button,
#wrapper-email-link-button",killedItems,false,yes,,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage,
#email-link-button,
#wrapper-email-link-button",false,yes,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage,
#email-link-button,
#wrapper-email-link-button",変更無し,yes,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage",false
MenuShortcut-5,ファイル＞オフライン作業,goOfflineMenuitem,-,"#goOfflineMenuitem,
[oncommand=""BrowserOffline.toggleOfflineStatus();""]",killedItems,false,yes,○,-,#goOfflineMenuitem,false,yes,,変更無し,変更無し,yes,-,#goOfflineMenuitem,false
MenuShortcut-6（廃止）,ツール＞プライベートブラウジングの開始,privatebrowsing,Firefox 31で廃止,,,,,,Firefox 31で廃止,,,,存在しない,廃止,廃止,-,Ctrl-Shit-P,"#key_privatebrowsing,
#Tools\:PrivateBrowsing",false
