設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
1,1,インストール,インストーラの表示名,-,Fx Meta Installer（既定）,fx-meta-installerビルド時に決定,-,,
1,2,,,,任意の名前,fx-meta-installerビルド時に決定,"!define PRODUCT_FULL_NAME  ""（名前）""",,
2,1,インストール,インストーラのファイル名,-,FxMetaInstaller,fx-meta-installerビルド時に決定,-,,
2,2,,,,任意の名前,fx-meta-installerビルド時に決定,"!define PRODUCT_NAME  ""（名前）""",,
3,1,インストール,インストーラのウィザード,-,表示し、操作確認を求める,fx-meta-installerビルド時に決定,"!define PRODUCT_INSTALL_MODE ""NORMAL""",,
3,2,,,,表示し、操作確認を求めない（既定）,fx-meta-installerビルド時に決定,"!define PRODUCT_INSTALL_MODE ""PASSIVE""",,
3,3,,,,一切表示しない,fx-meta-installerビルド時に決定,"!define PRODUCT_INSTALL_MODE ""QUIET""",,
4,1,インストール,インストール完了後のメッセージ,-,表示しない（既定）,-,-,,
4,2,,,,表示する,fainstall.iniを編集する,"[fainstall]
FinishTitle=Fx Meta Installer
FinishMessage=インストールが完了しました",,
5,1,インストール,インストール完了後の再起動要求,-,表示しない（既定）,-,-,,
5,2,,,,表示する,fainstall.iniを編集する,"[fainstall]
ConfirmRestartTitle=Fx Meta Installer
ConfirmRestartMessage=今すぐコンピュータを再起動しますか？",,
6,1,インストール,インストーラのウィザードの表示言語,-,日本語（既定）,fx-meta-installerビルド時に決定,"!define PRODUCT_LANGUAGE ""Japanese""",,
6,2,,,,英語,fx-meta-installerビルド時に決定,"!define PRODUCT_LANGUAGE ""English""",,
7,1,インストール,Firefox/Thunderbirdの同梱,-,同梱しない（既定）,-,-,,
7,2,,,,指定バージョンを同梱する,resources以下にインストーラを同梱,-,,
8,1,インストール,Firefox/Thunderbirdのインストール先,-,既定のインストール先（既定）,-,-,,
8,2,,,,任意のインストール先,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
InstallDirectoryName=
InstallDirectoryPath=",,
9,1,特定用途専用アプリケーションとしての利用,デスクトップのショートカット,-,Mozilla Firefox（既定）,-,-,,
9,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
StartMenuShortcuts=false",,
9,3,,,,任意の内容で作成,"1. Firefox-setup.ini/Thunderbird-setup.iniを編集する
2. fainstall.iniを編集する","Firefox-setup.ini/Thunderbird-setup.ini:
[Install]
DesktopShortcut=false
StartMenuShortcuts=false

fainstall.ini:
[fainstall]
Shortcuts=section-name

[section-name]
Name=ショートカット名
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=C:/Users/Public/Desctop/",,
10,1,特定用途専用アプリケーションとしての利用,スタートメニューのショートカット,-,Mozilla Firefox（既定）,-,-,,
10,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
StartMenuShortcuts=false",,
10,3,,,,任意の内容で作成,"1.Firefox-setup.ini/Thunderbird-setup.iniを編集する
2.fainstall.iniを編集する","Shortcuts=startmenu-shortcut
[startmenu-shortcut]
Name=""Mozilla Firefox""
Path=%AppDir%/firefox.exe
IconPath=C:/path/to/icon.ico
Options=https://example.com/
TargetUser=all
TargetLocation=",,
11,1,特定用途専用アプリケーションとしての利用,クイック起動のショートカット,-,Mozilla Firefox（既定）,-,-,,
11,2,,,,作成しない,Firefox-setup.ini/Thunderbird-setup.iniを編集する,"[Install]
QuickLaunchShortcut=false",,
12,1,特定用途専用アプリケーションとしての利用,メインウィンドウのタイトル,-,Mozilla Firefox（既定）,-,-,,
12,2,,,,任意の内容,"1. アドオン「UI Text Overrider」を導入する
2. MCDで設定を反映する","var title = ""タイトル"";
lockPref(""extensions.uitextoverrider@clear-code.com.main-window"", "":root#main-window"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_normal"", title);
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.title_privatebrowsing"", title + ""（プライベートブラウジング）"");
lockPref(""extensions.uitextoverrider@clear-code.com.main-window.titlemodifier_privatebrowsing"", title + ""（プライベートブラウジング）"");",,
13,1,特定用途専用アプリケーションとしての利用,メインウィンドウのアイコン,-,Mozilla Firefoxアイコン（既定）,-,-,,
13,2,,,,任意のアイコン,アイコンをresources/main-window.icoの位置に置く,-,,
14,1,管理者による設定,管理者による設定の制御,-,ローカルのファイルで設定する,"1. default/autoconfig.jsに設定を反映する
2. autoconfig.cfgに設定を反映する","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…",変更無し,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
…"
14,2,,,,リモートのファイルで設定する,"1. default/autoconfig.jsに設定を反映する
2. autoconfig.cfgに設定を反映する
3. リモートに設定ファイルautoconfig.jscを設置する","autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…",変更無し,"autoconfig.js:
pref(""general.config.obscure_value"", 0);
pref(""general.config.filename"", ""autoconfig.cfg"");
pref(""general.config.vendor"", ""autoconfig"");

autoconfig.cfg:
// the first line is always ignored by Firefox itself
pref(""autoadmin.global_config_url"", ""schema://path/to/autoconfig.jsc"");

autoconfig.jsc:
…"
14,3,,,,設定しない（既定）,-,-,変更無し,-
15,1,管理者によるアドオン導入,初回起動時のアドオン導入警告の可否,-,警告する（既定）,MCDで設定を反映する,"lockPref(""extensions.autoDisableScopes"", 15);",変更無し,"lockPref(""extensions.autoDisableScopes"", 15);"
15,2,,,,警告しない,MCDで設定を反映する,"lockPref(""extensions.autoDisableScopes"", 11);",変更無し,"lockPref(""extensions.autoDisableScopes"", 11);"
16,1,管理者によるアドオン導入,Firefoxバージョンアップ時のアドオン更新確認の可否,-,確認する（既定）,MCDで設定を反映する,"lockPref(""extensions.shownSelectionUI"", false);",変更無し,"lockPref(""extensions.shownSelectionUI"", false);"
16,2,,,,確認しない,MCDで設定を反映する,"lockPref(""extensions.shownSelectionUI"", true);",変更無し,"lockPref(""extensions.shownSelectionUI"", true);"
17,1,セキュリティ,独自のルート証明書をあらかじめ導入しておく,-,導入する,"1. アドオン「Cert Importer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);",変更無し,"lockPref(""extensions.certimporter.importAs.*"", 0);
lockPref(""extensions.certimporter.importAs.（ファイル名）"", 1);"
17,2,,,,導入しない（既定）,-,-,,
