,"無効化に際しては、特に断りがない限りアドオン「UI Text Overrider」および「globalChrome.css」を導入して、MCDおよびglobalChrome.cssにて設定を反映するものとする。

MCDによる設定:
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）"", ""（セレクタ）"");
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）.disabled"", ""true"");
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）.hidden"", ""true"");
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）.readonly"", ""true"");
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）.command"", """");
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）.oncommand"", """");
lockPref(""extensions.uitextoverrider@clear-code.com.（識別子）.delayed"", （遅延初期化）);

@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  （セレクタ） {
    display: none !important;
    -moz-user-focus: ignore !important;
  }
}",,,,,,,,,,,,
,,,,,,,,,,,,,
設定項目番号,無効化対象,識別子,Firefox 38,,,,Firefox 31,,,,Firefox 24,,
,,,ショートカット,セレクタ,遅延初期化,"oncommandを
空にする",ショートカット,セレクタ,遅延初期化,"oncommandを
空にする",ショートカット,セレクタ,遅延初期化
1,閉じたタブを開き直す,undoCloseTab,Ctrl-Shift-T,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#context_undoCloseTab,
#PanelUI-recentlyClosedTabs-separator,
#PanelUI-recentlyClosedTabs",false,yes,変更無し,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#context_undoCloseTab,
#PanelUI-recentlyClosedTabs-separator,
#PanelUI-recentlyClosedTabs",変更無し,yes,Ctrl-Shift-T,"#key_undoCloseTab,
#History\:UndoCloseTab,
#historyUndoMenu,
#context_undoCloseTab",false
2,閉じたウィンドウを開き直す,undoCloseWindow,Ctrl-Shift-W,"#key_undoCloseWindow,
#History\:UndoCloseWindow,
#historyUndoWindowMenu,
#PanelUI-recentlyClosedWindows-separator,
#PanelUI-recentlyClosedWindows",false,yes,変更無し,"#key_undoCloseWindow,
#History\:UndoCloseWindow,
#historyUndoWindowMenu,
#PanelUI-recentlyClosedWindows-separator,
#PanelUI-recentlyClosedWindows",変更無し,yes,Ctrl-Shift-W,"#History\:UndoCloseWindow,
#historyUndoWindowMenu",false
3,ファイル＞新しいプライベートウィンドウを開く,undoCloseWindow,Ctrl-Shift-P,"#menu_newPrivateWindow,
#privatebrowsing-button,
#wrapper-privatebrowsing-button,
#key_privatebrowsing,
#Tools\:PrivateBrowsing,
#context-openlinkprivate",false,yes,変更無し,"#menu_newPrivateWindow,
#privatebrowsing-button,
#wrapper-privatebrowsing-button,
#key_privatebrowsing,
#Tools\:PrivateBrowsing,
#context-openlinkprivate",変更無し,yes,Ctrl-Shift-P,"#appmenu_newPrivateWindow, #menu_newPrivateWindow",false
4,ファイル＞ページのURLをメールで送信（ページのURLをメールで送信ボタン）,browser_sendLink,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage,
#email-link-button,
#wrapper-email-link-button",false,yes,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage,
#email-link-button,
#wrapper-email-link-button",変更無し,yes,-,"#Browser\:SendLink,
#appmenu_sendLink,
#menu_sendLink,
#context-sendpage",false
5,ファイル＞オフライン作業,goOfflineMenuitem,-,#goOfflineMenuitem,false,yes,,変更無し,変更無し,yes,-,#goOfflineMenuitem,false
6,ツール＞プライベートブラウジングの開始,privatebrowsing,Firefox 31で廃止されたためカスタマイズ不可能,,,,存在しない,廃止,廃止,-,Ctrl-Shit-P,"#key_privatebrowsing,
#Tools\:PrivateBrowsing",false
