設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 45）,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
Install-1,1,インストール,インストーラの表示名,-,Fx Meta Installer（既定）,fx-meta-installerビルド時に決定,,-,,
Install-1,2,,,,任意の名前,fx-meta-installerビルド時に決定,,"!define PRODUCT_FULL_NAME  ""（名前）""",,
Install-2,1,インストール,インストーラのファイル名,-,FxMetaInstaller,fx-meta-installerビルド時に決定,,-,,
Install-2,2,,,,任意の名前,fx-meta-installerビルド時に決定,,"!define PRODUCT_NAME  ""（名前）""",,
Install-3,1,インストール,インストーラのウィザード,-,表示し、操作確認を求める,fx-meta-installerビルド時に決定,"!define PRODUCT_INSTALL_MODE ""NORMAL""","!define PRODUCT_INSTALL_MODE ""NORMAL""",,
Install-3,2,,,,表示し、操作確認を求めない（既定）,fx-meta-installerビルド時に決定,"!define PRODUCT_INSTALL_MODE ""PASSIVE""","!define PRODUCT_INSTALL_MODE ""PASSIVE""",,
Install-3,3,,,,一切表示しない,fx-meta-installerビルド時に決定,"!define PRODUCT_INSTALL_MODE ""QUIET""","!define PRODUCT_INSTALL_MODE ""QUIET""",,
Install-4,1,インストール,インストール完了後のメッセージ,-,表示しない（既定）,-,,-,,
Install-4,2,,,,表示する,fainstall.iniを編集する,,"[fainstall]
FinishTitle=Fx Meta Installer
FinishMessage=インストールが完了しました",,
Install-5,1,インストール,インストール完了後の再起動要求,-,表示しない（既定）,-,,-,,
Install-5,2,,,,表示する,fainstall.iniを編集する,,"[fainstall]
ConfirmRestartTitle=Fx Meta Installer
ConfirmRestartMessage=今すぐコンピュータを再起動しますか？",,
Install-6,1,インストール,インストーラのウィザードの表示言語,-,日本語（既定）,fx-meta-installerビルド時に決定,,"!define PRODUCT_LANGUAGE ""Japanese""",,
Install-6,2,,,,英語,fx-meta-installerビルド時に決定,,"!define PRODUCT_LANGUAGE ""English""",,
Install-7,1,インストール,Firefox/Thunderbirdの同梱,-,同梱しない（既定）,-,-,-,,
